Flokkun,N,skipting,ath
Amphipoda,6,¼,
Aricidea suecica,1,¼,
Bivalvia,17,¼,
Capitellidae,,,
Cumacea,1,¼,
Etone longa,4,¼,
Foraminifera,1,¼,
Harpacticoida sp,4,¼,
Heteromastus filiformis,3,¼,
Heteromastus filiformis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Nematoda,,,
Nematoda,6,¼,
Nemertea sp,,,
Nemertea sp,,,
Oligochaeta sp,,,
Oligochaeta sp,,,
Ophelina acuminata,25,¼,
Ophelina acuminata,,,
Ostracoda,,,
Ostracoda,,,
Pectinariidae sp,,,
Pholoe sp,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,23,¼,
Polydora,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Scalibregma inflatum,4,¼,
Scalibregma inflatum,,,
Scoloplos armiger,2,¼,
Scoloplos armiger,,,
Sphaerodoropsis minuta,,,
Spionidae sp,34,¼,eitthvað polydora
Spionidae sp,1,¼,
Microphthalmus aberrans,5,¼,
Chaetozone setosa,1,¼,
Terebellinae,3,¼,
