ar;stod;1000um;250um;125um;63um;20um
2017;A7;1,3;0,6;12,5;10,7;45,3
2017;B7;0,6;1,2;2,9;15,5;29,5
2017;E3;31,1;4,2;20,3;20,2;24,9
2017;B5;0;0,3;6,2;14,4;25,2
2017;U2;2,4;1,2;8;41,4;14,9
2017;B0;115,2;10,8;1;1;1
2017;B8;3,2;5,3;25,1;19,1;15
2017;U1;192,3;1,7;1,9;0,7;1,1
2017;C4;3,3;13,1;71,2;26,6;20,5
2017;U3;88,6;5,5;2,6;3,7;2,5
2017;E4;12,9;2;25,1;23,9;25,7
2015;A7;1,5;3,9;22,7;18,3;38,5
2015;U3;297,4;79;39,4;14,8;6,6
2015;B8;1;1,1;26,6;22,4;30
2015;E3;91,6;6,7;32,4;26,8;29,4
2015;U2;2;1,1;27,2;61,9;30,6
2015;B0;178,7;42;12,5;11,6;4,9
2015;C4;2,1;4,2;41,3;24,1;22
2015;B5;0;1,1;25,1;25,8;32,8
2015;E4;55,2;4,7;29,8;33,1;33,5
2016;E3;181,6;33,2;112,9;37,2;32,9
2016;C4;16,3;28,9;56,3;28,3;30,6
2016;A7;4;8,4;32,6;24,7;44,7
2016;E4;1828;4,2;67,1;50,7;24,8
2016;B0;272,4;59,9;6,1;12,8;10,8
2016;U3;156,8;24,4;8,3;5,7;5,6
2016;U2;3;2,4;64,5;64,2;22,2
2016;B5;0,7;8;61,7;53,8;30,2
2014;E4;1,9;0,8;14,9;17,9;24,3
2014;B5;0;0,5;20,8;21,7;20,4
2014;U2;0,2;0,9;37,2;39,3;11,7
2014;B8;0;0,3;10,4;10,5;22,6
2014;A7;0;5,1;16,8;13,1;18,3
2014;C4;2,1;4,2;35,8;20,4;11,3
2014;E3;18,6;3,8;19,2;12,1;14,4
2014;B0;107,6;17,2;3,4;4,8;2,9
