"Fylking / flokkur / ættbálkurPhylum / Class / Order","Ætt / tegundFamily /Species","Íslenskt heitiIcelandic name",2007,1985,,,,,
,,,Sv-4,Sv-3,Sv-2,Sv-1,Sv-4,Sv-3,Sv-2
Nemertea,,Ranaormar,11,42,,200,,50,25
Mollusca,,Lindýr,,,,,,,
Gastropoda,,Kuðungar,,,17,150,,,
,Nucella lapillus,Nákuðungur,,,72,,,,
,Skeneopsis planorbis,Mærudoppa,,,6,,,,
,Margarites sp(p).,,,,6,,3,,
,Natica clausa,Meyjarpatta,,8,,,,,
,Retusa pertenuis,Toppsnubba,,8,,,22,8,
,Chaetoderma sp.,,,,,,,,3
Bivalvia,,Samlokur,111,175,150,,,,
,Astarte sp.,,,,6,,,,
,Cardium/Parvicardium,,33,100,56,33,14,25,
,Cerastoderma edule,Hjartaskel,11,33,,,,,
,Serripes groenlandicum,Krókskel,44,,,17,25,29,
,Arctica islandica,Kúfskel,,58,,,,8,
,Leda pernula,Trönuskel,,125,39,,,,
,Yoldia hyperboria,Kolkuskel,,25,6,,,,
,Spisula solida,Tigulskel,,,,,,21,
,Mya sp(p).,,22,742,794,83,3,,
,Mytilus edulis,Kræklingur,33,100,133,,3,,
,Musculus sp.,,,8,11,,3,,
,Crenella decussata,Auðnuskel,,,,,,4,
,Ennucula tenuis,Gljáhnytla,56,183,900,17,,,
,Abra nitida,Lýsuskel,,267,756,,,4,
,Macoma calcarea,Hallloka,300,542,372,,275,71,
,Thyasira flexuosa,Hrukkubúlda,33,117,533,,22,29,
Echiura,,,33,,,,,,
Cephalorhyncha,,,,,,,,,
Priapulida,Priapulus caudatus,Maðkamóðir,28,,39,,,,
Annelida,,Liðormar,,,,,,,
Oligochaeta,,Ánar,22,192,50,50,33,34,86
Polychaeta,,Burstaormar,22,17,89,33,,,3
,Ampharetidae,,178,33,133,,,,8
,Apistobranchus tullbergi,,,,17,,14,263,383
,Capitellidae,,,83,11,17,94,17,131
,Chaetozone setosa,,,17,,,44,213,444
,Cirratulus cirratus,Flækjubendill,,,,,,,86
,Cossura longocirrata,,89,617,578,,,350,441
,Dorvilleidae,,,33,22,,,,80
,Brada villosa,,,,,,156,21,14
,Flabelligera affinis,,,,,,8,,6
,Glycera sp.,,,,,17,,,
,Goniada maculata,,,,,,,,3
,Hesionidae,,289,17,17,,3,21,67
